Notes,State,State Code,Year,Year Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Arkansas,5,2020,2020,Male,M,254,1486856,17.1
Total,Arkansas,5,2020,2020,,,416,3030522,13.7
Total,Arkansas,5,,,,,2180,23958624,9.1
,California,6,2013,2013,Female,F,905,19268325,4.7
,California,6,2013,2013,Male,M,1915,19064196,10
Total,California,6,2013,2013,,,2820,38332521,7.4
,California,6,2014,2014,Female,F,917,19533596,4.7
,California,6,2014,2014,Male,M,2048,19268904,10.6
Total,California,6,2014,2014,,,2965,38802500,7.6
,California,6,2015,2015,Female,F,1005,19701750,5.1
,California,6,2015,2015,Male,M,2226,19443068,11.4
Total,California,6,2015,2015,,,3231,39144818,8.3
,California,6,2016,2016,Female,F,976,19756656,4.9
,California,6,2016,2016,Male,M,2290,19493361,11.7
Total,California,6,2016,2016,,,3266,39250017,8.3
,California,6,2017,2017,Female,F,1041,19889100,5.2
,California,6,2017,2017,Male,M,2655,19647553,13.5
Total,California,6,2017,2017,,,3696,39536653,9.3
,California,6,2018,2018,Female,F,1149,19893468,5.8
,California,6,2018,2018,Male,M,3066,19663577,15.6
Total,California,6,2018,2018,,,4215,39557045,10.7
,California,6,2019,2019,Female,F,1351,19867369,6.8
,California,6,2019,2019,Male,M,3883,19644854,19.8
Total,California,6,2019,2019,,,5234,39512223,13.2
,California,6,2020,2020,Female,F,1919,19790589,9.7
,California,6,2020,2020,Male,M,6039,19577489,30.8
Total,California,6,2020,2020,,,7958,39368078,20.2
Total,California,6,,,,,33385,313503855,10.6
,Colorado,8,2013,2013,Female,F,192,2621921,7.3
,Colorado,8,2013,2013,Male,M,320,2646446,12.1
Total,Colorado,8,2013,2013,,,512,5268367,9.7
,Colorado,8,2014,2014,Female,F,231,2664707,8.7
,Colorado,8,2014,2014,Male,M,386,2691159,14.3
Total,Colorado,8,2014,2014,,,617,5355866,11.5
,Colorado,8,2015,2015,Female,F,221,2712811,8.1
,Colorado,8,2015,2015,Male,M,384,2743763,14
Total,Colorado,8,2015,2015,,,605,5456574,11.1
