Notes,State,State Code,Year,Year Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Alabama,1,2013,2013,Female,F,28,2488375,1.1
,Alabama,1,2013,2013,Male,M,37,2345347,1.6
,Alabama,1,2014,2014,Female,F,41,2499410,1.6
,Alabama,1,2014,2014,Male,M,49,2349967,2.1
,Alabama,1,2015,2015,Female,F,43,2505795,1.7
,Alabama,1,2015,2015,Male,M,44,2353184,1.9
,Alabama,1,2016,2016,Female,F,48,2507714,1.9
,Alabama,1,2016,2016,Male,M,46,2355586,2
,Alabama,1,2017,2017,Female,F,59,2514911,2.3
,Alabama,1,2017,2017,Male,M,82,2359836,3.5
,Alabama,1,2018,2018,Female,F,53,2523756,2.1
,Alabama,1,2018,2018,Male,M,73,2364115,3.1
,Alabama,1,2019,2019,Female,F,71,2533668,2.8
,Alabama,1,2019,2019,Male,M,64,2369517,2.7
,Alabama,1,2020,2020,Female,F,49,2544566,1.9
,Alabama,1,2020,2020,Male,M,73,2376966,3.1
,Alaska,2,2013,2013,Female,F,11,349564,Unreliable
,Alaska,2,2013,2013,Male,M,27,385568,7
,Alaska,2,2014,2014,Female,F,22,349436,6.3
,Alaska,2,2014,2014,Male,M,18,387296,Unreliable
,Alaska,2,2015,2015,Female,F,20,349407,5.7
,Alaska,2,2015,2015,Male,M,31,389025,8
,Alaska,2,2016,2016,Female,F,18,353762,Unreliable
,Alaska,2,2016,2016,Male,M,27,388132,7
,Alaska,2,2017,2017,Female,F,23,353003,6.5
,Alaska,2,2017,2017,Male,M,24,386792,6.2
,Alaska,2,2018,2018,Female,F,20,352865,5.7
,Alaska,2,2018,2018,Male,M,14,384573,Unreliable
,Alaska,2,2019,2019,Female,F,12,350127,Unreliable
,Alaska,2,2019,2019,Male,M,30,381418,7.9
,Alaska,2,2020,2020,Female,F,16,349621,Unreliable
,Alaska,2,2020,2020,Male,M,22,381537,5.8
,Arizona,4,2013,2013,Female,F,124,3331505,3.7
,Arizona,4,2013,2013,Male,M,129,3295119,3.9
,Arizona,4,2014,2014,Female,F,140,3387637,4.1
,Arizona,4,2014,2014,Male,M,150,3343847,4.5
,Arizona,4,2015,2015,Female,F,151,3436575,4.4
,Arizona,4,2015,2015,Male,M,147,3391490,4.3
,Arizona,4,2016,2016,Female,F,153,3488176,4.4
,Arizona,4,2016,2016,Male,M,173,3442895,5
,Arizona,4,2017,2017,Female,F,157,3527969,4.5
,Arizona,4,2017,2017,Male,M,192,3488301,5.5
,Arizona,4,2018,2018,Female,F,140,3606307,3.9
,Arizona,4,2018,2018,Male,M,171,3565339,4.8
,Arizona,4,2019,2019,Female,F,128,3661420,3.5
,Arizona,4,2019,2019,Male,M,180,3617297,5
,Arizona,4,2020,2020,Female,F,129,3735475,3.5
,Arizona,4,2020,2020,Male,M,189,3685926,5.1
,Arkansas,5,2013,2013,Female,F,53,1505782,3.5
,Arkansas,5,2013,2013,Male,M,58,1453591,4
,Arkansas,5,2014,2014,Female,F,54,1509053,3.6
,Arkansas,5,2014,2014,Male,M,65,1457316,4.5
,Arkansas,5,2015,2015,Female,F,70,1515348,4.6
,Arkansas,5,2015,2015,Male,M,74,1462856,5.1
,Arkansas,5,2016,2016,Female,F,56,1520375,3.7
,Arkansas,5,2016,2016,Male,M,58,1467873,4
,Arkansas,5,2017,2017,Female,F,70,1528215,4.6
,Arkansas,5,2017,2017,Male,M,46,1476064,3.1
,Arkansas,5,2018,2018,Female,F,57,1533682,3.7
,Arkansas,5,2018,2018,Male,M,51,1480143,3.4
,Arkansas,5,2019,2019,Female,F,50,1536188,3.3
,Arkansas,5,2019,2019,Male,M,38,1481616,2.6
,Arkansas,5,2020,2020,Female,F,56,1543666,3.6
,Arkansas,5,2020,2020,Male,M,39,1486856,2.6
,California,6,2013,2013,Female,F,408,19268325,2.1
,California,6,2013,2013,Male,M,631,19064196,3.3
,California,6,2014,2014,Female,F,442,19533596,2.3
,California,6,2014,2014,Male,M,605,19268904,3.1
,California,6,2015,2015,Female,F,415,19701750,2.1
,California,6,2015,2015,Male,M,604,19443068,3.1
,California,6,2016,2016,Female,F,374,19756656,1.9
,California,6,2016,2016,Male,M,581,19493361,3
,California,6,2017,2017,Female,F,373,19889100,1.9
,California,6,2017,2017,Male,M,600,19647553,3.1
,California,6,2018,2018,Female,F,356,19893468,1.8
,California,6,2018,2018,Male,M,554,19663577,2.8
,California,6,2019,2019,Female,F,345,19867369,1.7
,California,6,2019,2019,Male,M,572,19644854,2.9
,California,6,2020,2020,Female,F,357,19790589,1.8
,California,6,2020,2020,Male,M,631,19577489,3.2
,Colorado,8,2013,2013,Female,F,99,2621921,3.8
,Colorado,8,2013,2013,Male,M,122,2646446,4.6
,Colorado,8,2014,2014,Female,F,125,2664707,4.7
,Colorado,8,2014,2014,Male,M,134,2691159,5
,Colorado,8,2015,2015,Female,F,120,2712811,4.4
,Colorado,8,2015,2015,Male,M,139,2743763,5.1
,Colorado,8,2016,2016,Female,F,94,2754727,3.4
,Colorado,8,2016,2016,Male,M,118,2785818,4.2
,Colorado,8,2017,2017,Female,F,119,2784821,4.3
,Colorado,8,2017,2017,Male,M,135,2822333,4.8
,Colorado,8,2018,2018,Female,F,97,2827696,3.4
,Colorado,8,2018,2018,Male,M,125,2867868,4.4
,Colorado,8,2019,2019,Female,F,125,2857388,4.4
,Colorado,8,2019,2019,Male,M,107,2901348,3.7
,Colorado,8,2020,2020,Female,F,104,2881832,3.6
,Colorado,8,2020,2020,Male,M,157,2925887,5.4
,Connecticut,9,2013,2013,Female,F,58,1841929,3.1
,Connecticut,9,2013,2013,Male,M,86,1754151,4.9
,Connecticut,9,2014,2014,Female,F,60,1842128,3.3
,Connecticut,9,2014,2014,Male,M,97,1754549,5.5
,Connecticut,9,2015,2015,Female,F,73,1839139,4
,Connecticut,9,2015,2015,Male,M,110,1751747,6.3
,Connecticut,9,2016,2016,Female,F,78,1830837,4.3
,Connecticut,9,2016,2016,Male,M,128,1745615,7.3
,Connecticut,9,2017,2017,Female,F,66,1836384,3.6
,Connecticut,9,2017,2017,Male,M,122,1751800,7
,Connecticut,9,2018,2018,Female,F,58,1829270,3.2
,Connecticut,9,2018,2018,Male,M,103,1743395,5.9
